node,degree,deg_centrality,betweenness,closeness
125,11,0.0738255033557047,0.007297263684519412,0.42329545454545453
126,14,0.09395973154362416,0.008227890034675897,0.45288753799392095
127,14,0.09395973154362416,0.008296338595881421,0.45151515151515154
128,9,0.060402684563758385,0.0031400148135805345,0.42209631728045327
129,9,0.060402684563758385,0.003212421470708494,0.4197183098591549
130,13,0.087248322147651,0.008351985475045443,0.44345238095238093
131,14,0.09395973154362416,0.010529518783550199,0.44345238095238093
132,8,0.053691275167785234,0.0037267541183166144,0.40710382513661203
133,17,0.11409395973154363,0.017726896134409066,0.48220064724919093
134,9,0.060402684563758385,0.006473295703678337,0.40821917808219177
135,12,0.08053691275167785,0.007732055842166784,0.42939481268011526
136,14,0.09395973154362416,0.010121068993123988,0.44610778443113774
137,8,0.053691275167785234,0.004994094355330387,0.4173669467787115
138,14,0.09395973154362416,0.007903351414077942,0.46417445482866043
139,11,0.0738255033557047,0.0068239203082139,0.43567251461988304
140,16,0.10738255033557047,0.017047816644599343,0.4670846394984326
141,13,0.087248322147651,0.008187303336159066,0.4584615384615385
142,12,0.08053691275167785,0.008930021177619802,0.43823529411764706
143,6,0.040268456375838924,0.0018075815572174342,0.3973333333333333
144,19,0.12751677852348994,0.021471543814716214,0.49337748344370863
145,11,0.0738255033557047,0.005591780835863861,0.4421364985163205
146,6,0.040268456375838924,0.002657814062275175,0.38402061855670105
147,16,0.10738255033557047,0.015200440154506355,0.473015873015873
148,19,0.12751677852348994,0.020940259925366553,0.4790996784565916
149,9,0.060402684563758385,0.005156389860397412,0.40934065934065933
